question,answers
How are bats different?,"Bats, however, have adapted anti-inflammatory traits that protect them from such harm, include the loss of certain genes that normally promote inflammation."
What bat species cells were compared?,"-the black flying fox -in which the interferon pathway is always on, and another -the Egyptian fruit bat -in which this pathway is only activated during an infection."
What was the conclusion of the study ?," In both bat species, the strongest antiviral responses were countered by the virus spreading more quickly from cell to cell. This suggests that bat immune defenses may drive the evolution of faster transmitting viruses, and while bats are well protected from the harmful effects of their own prolific viruses, other creatures like humans are not."
What would be the benefit of learning more about bat's defenses and how they  drive virus evolution?,"help scientists develop better ways to predict, prevent or limit the spread of viruses from bats to humans. "
Which cells are IFN-defective and therefore limited in  antiviral capacity?,demonstrate idiosyncratic induced interferon responses upon viral challenge
What cells demonstrate idiosyncratic interferon response?,RoNi/7.1 (Rousettus aegyptiacus) cells
Which cells express constitutive IFN-a?,PaKiT01 (Pteropus alecto) cell
How were  the spread of GFP-expressing virus-infected cells across tissue monolayers tracked via inverted fluorescence microscopy?,Because plaque assays restrict viral transmission neighbor-to-neighbor in two-dimensional cellular space 
How were  the spread of GFP-expressing virus-infected cells tracked?," For each infection trial, we monitored and re-imaged plates for up to 200 hr of observations or until total monolayer destruction, processed resulting images, and generated a time series of the proportion of infectious-cell occupied plate space across the duration of each trial (see Materials and methods). We used generalized additive models to infer the time course of all cell culture replicates and construct the multi-trial dataset to which we eventually fit our mechanistic transmission model for each cell line-virus-specific combinatio"
How was the modeling carried out?,an innovative combination of in vitro experimentation and within-host modeling to explore the impact of unique bat immunity on virus dynamics.
What was the finding in this study?,"that bat cell lines demonstrated a signature of enhanced interferon-mediated immune response, of either constitutive or induced form, which allowed for establishment of rapid within-host, cell-to-cell virus transmission rates "
What supports the results?,"by both data-independent bifurcation analysis of our mean field theoretical model, as well as fitting of this model to viral infection time series established in bat cell culture."
What was additionally demonstrated?,"the antiviral state induced by the interferon pathway protects live cells from mortality in tissue culture, resulting in in vitro epidemics of extended duration that enhance the probability of establishing a long-term persistent infection."
What do  the studies suggest?,that viruses evolved in bat reservoirs possessing enhanced IFN capabilities could achieve more rapid within-host transmission rates without causing pathology to their hosts. Such rapidly-reproducing viruses would likely generate extreme virulence upon spillover to hosts lacking similar immune capacities to bats.
What was the methodology for this study?,"we first developed a novel, within-host, theoretical model elucidating the effects of unique bat immunity, then undertook bifurcation analysis of the model's equilibrium properties under immune absent, induced, and constitutive assumptions. We considered a cell line to be constitutively immune if possessing any number of antiviral cells at disease-free equilibrium but allowed the extent of constitutive immunity to vary across the parameter range for "", the constitutive rate of antiviral acquisition. "
What was demonstrated in deriving the equation for R 0?," invasion threshold is elevated at high values of constitutive antiviral acquisition,"
What is a conclusion of the modeling?,"Constitutive immune processes can thus prohibit pathogen invasion, while induced responses, by definition, can only control infections post-hoc."
What is a conclusion of the study?,"Regardless of mechanism (induced or constitutive), interferon-stimulated antiviral cells appear to play a key role in maintaining longer term or persistent infections by safeguarding susceptible cells from rapid infection and concomitant cell death. "
What do  fits to rVSV-MARV infections on PaKiT01 cells suggest?,"that the constitutive IFN-a expression characteristic of P. alecto cells may represent more of a constitutive immune priming process than a perpetual, functional, antiviral defense."
What do the findings indicate?,enhanced IFN-mediated immune pathways in bat reservoirs may promote elevated within-host virus replication rates prior to cross-species emergence. 
What is presented in this study?,"general methods to study cross-scale viral dynamics, which suggest that within-host persistence is supported by robust antiviral responses characteristic of bat immune processes. "
What is a conclusion of  this study?, Viruses which evolve rapid replication rates under these robust antiviral defenses may pose the greatest hazard for cross-species pathogen emergence into spillover hosts with immune systems that differ from those unique to bats. 
What is the acronym SARS-CoV-2?,severe acute respiratory syndrome coronavirus 2 
When was SARS-CoV-2 first identified?,December 2019
Where was SARS-CoV-2 first identified?,"Wuhan, capital of Hubei Province, China"
What factor positively correlates with imported-and-reported cases counts of SARS-CoV-2 infection?,daily air travel volume
